,0
48,"['mr', 'add', 'magic', 'gold', 'dust', 'provide', 'struggle', 'time', 'thomas', 'island', 'blue', 'doesnt', 'love', 'take', 'meanwhile', 'engine', 'stand', 'nasty', 'diesel', 'mother', 'want', 'help', 'snow', 'loose', 'cousin', 'new', 'friend', 'dark', 'grandfather', 'secret', 'hide', 'couldnt', 'move']"
49,"['superficial', 'break', 'change', 'condition', 'chance', 'story', 'end', 'seduction', 'pressure', 'stealing', 'amongst', 'british', 'florence', 'italy', 'turbulent', 'world', 'war', 'ii']"
50,"['irish', 'crime', 'investigate', 'reporter', 'sinead', 'hamilton', 'underworld', 'break', 'outlaw', 'get', 'bond', 'system', 'police', 'run', 'unable', 'attention', 'try', 'step', 'normal', 'husband', 'hate', 'danger', 'admire', 'persistence', 'investigation']"
51,"['outbreak', 'world', 'war', 'edith', 'graydon', 'married', 'boyfriend', 'percy', 'thomson', 'go', 'happy', 'marriage', 'doesnt', 'love', 'day', 'he', 'possessive', 'daily', 'life', 'constant', 'struggle', 'return', 'frederick', 'time', 'thing', 'desperate', 'take', 'formal', 'separation', 'divorce', 'husband', 'deaf', 'brain', 'end', 'decide', 'something', 'dark', 'eve', 'walk', 'shot', 'point', 'murder', 'get', 'guilty', 'innocence', 'do', 'attend', 'home', 'true', 'story']"
52,"['return', 'magical', 'home', 'hope', 'friendship', 'get', 'secret', 'garden', 'sequel', 'inspire', 'classic', 'story', 'lead', 'world', 'grand', 'chance', 'entire', 'family']"
53,"['internet', 'love', 'post', 'order', 'turn', 'john', 'golden', 'game', 'tire', 'look', 'perfect', 'woman', 'get', 'take', 'bride', 'russia', 'online', 'start', 'seem', 'new', 'gorgeous', 'talk', 'much', 'side', 'bedroom', 'communication', 'nadias', 'come', 'keep', 'birthday', 'run', 'network', 'corruption', 'crime']"
54,"['annual', 'british', 'hairdressing', 'title', 'get', 'keighley', 'town', 'phil', 'son', 'brian', 'move', 'barbershop', 'phils', 'ex', 'wife', 'sandra', 'beauty', 'salon', 'havent', 'talk', 'decade', 'bolt', 'cancer', 'last', 'ray', 'roberts', 'reign', 'underhanded', 'star', 'blow', 'taunting', 'retirement', 'competitive', 'fashion', 'barber', 'daughter', 'christina', 'small', 'child', 'set', 'embark', 'rival', 'mom', 'join', 'want', 'win']"
55,"['vienna', 'alma', 'schindler', 'gustav', 'mahler', 'young', 'beautiful', 'music', 'life', 'meet', 'get', 'lover', 'demand', 'return', 'frame', 'turn', 'help', 'save', 'debt', 'stifle', 'end', 'child', 'spa', 'love', 'walter', 'gropius', 'stay', 'guide', 'thing', 'wild', 'oskar', 'kokoschka', 'way', 'marry', 'imperious', 'franz', 'werfel', 'insist', 'world', 'try']"
56,"['bridget', 'renée', 'zellweger', 'ordinary', 'woman', 'struggle', 'age', 'weight', 'job', 'want', 'world', 'many', 'new', 'result', 'take', 'control', 'life', 'pop', 'save', 'diary', 'tell', 'complete', 'truth', 'get', 'charm', 'disreputable', 'boss', 'interest', 'quirky', 'escape', 'mix', 'set', 'case', 'disagreeable', 'friend', 'seem', 'stop', 'move', 'help', 'attractive']"
57,"['german', 'introduce', 'trap', 'second', 'world', 'war', 'find', 'surround', 'try', 'tunnel', 'system', 'beneath', 'secret', 'come', 'home', 'get', 'crazy']"
58,"['italy', 'germany', 'light', 'country', 'greece', 'remote', 'greek', 'island', 'italian', 'weapon', 'garrison', 'ground', 'defend', 'order', 'officer', 'captain', 'corelli', 'position', 'common', 'co', 'world', 'take', 'music', 'romance', 'daughter', 'local', 'doctor', 'war', 'fight', 'german', 'invasion']"
59,"['november', 'secret', 'hollywood', 'end', 'come', 'power', 'william', 'randolph', 'yacht', 'famous', 'weekend', 'film', 'lead', 'charlie', 'chaplin', 'starlet', 'marion', 'hearst', 'mistress', 'time', 'silent', 'producer', 'thomas', 'henry', 'ince', 'love', 'make', 'start', 'studio', 'facility', 'job', 'system', 'filmmaking', 'fear', 'gossip', 'columnist', 'louella']"
60,"['charlotte', 'cate', 'blanchett', 'young', 'scottish', 'woman', 'field', 'france', 'know', 'london', 'world', 'war', 'ii', 'return', 'original', 'raise', 'secret', 'help', 'work', 'courier', 'french', 'underground', 'mission', 'enemy', 'get', 'personal', 'find', 'lover', 'take', 'put', 'communist', 'group', 'play', 'betrayal', 'unexpected', 'force', 'disappointment', 'hope']"
61,"['film', 'get', 'live', 'action', 'sequence', 'set', 'boston', 'situation', 'understand', 'famous', 'novelist', 'simon', 'callow', 'story', 'woman', 'interview', 'find', 'devil', 'capture', 'mouse', 'head', 'become', 'inspire', 'version', 'explain', 'make', 'gabriel', 'expect', 'glimmer', 'hope', 'glare', 'co', 'world', 'deep', 'short', 'london', 'subsequent', 'open', 'love', 'work', 'miniature', 'greek', 'chorus', 'leave', 'new', 'debut', 'face', 'scare', 'past', 'jane', 'sir', 'michael', 'gambon', 'future', 'home', 'resort']"
