Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,symmetric,0.4485018239548887
100% Corpus,9,0.9099999999999999,0.01,0.48167220331992966
100% Corpus,9,0.9099999999999999,0.31,0.4944352989163834
100% Corpus,9,0.9099999999999999,0.61,0.499681194035391
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4897827388881208
100% Corpus,9,0.9099999999999999,symmetric,0.4956175884301163
100% Corpus,9,symmetric,0.01,0.4310063215394793
100% Corpus,9,symmetric,0.31,0.41092777723825696
100% Corpus,9,symmetric,0.61,0.42278968203833633
100% Corpus,9,symmetric,0.9099999999999999,0.47326412457527844
100% Corpus,9,symmetric,symmetric,0.4436401422870992
100% Corpus,9,asymmetric,0.01,0.42530223098262016
100% Corpus,9,asymmetric,0.31,0.45668111401559464
100% Corpus,9,asymmetric,0.61,0.4467055863636919
100% Corpus,9,asymmetric,0.9099999999999999,0.4473160354155223
100% Corpus,9,asymmetric,symmetric,0.392157342534832
